Name,Possible Value,Unit,Range,Description
RC3_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC3_TRIM,1000,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC4_DZ,40,pwm,0 200,dead zone around trim or bottom
RC4_MAX,1981,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC4_MIN,992,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC4_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC4_TRIM,1486,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC5_DZ,0,pwm,0 200,dead zone around trim or bottom
RC5_FUNCTION,0,,0:Disabled 1:RCPassThru 2:Flap 3:Flap_auto 4:Aileron 6:mount_pan 7:mount_tilt 8:mount_roll 9:mount_open 10:camera_trigger 11:release 12:mount2_pan 13:mount2_tilt 14:mount2_roll 15:mount2_open 16:DifferentialSpoiler1 17:DifferentialSpoiler2 18:AileronWithInput 19:Elevator 20:ElevatorWithInput 21:Rudder 24:Flaperon1 25:Flaperon2 26:GroundSteering 27:Parachute 28:EPM 29:LandingGear 30:EngineRunEnable 31:HeliRSC 32:HeliTailRSC 33:Motor1 34:Motor2 35:Motor3 36:Motor4 37:Motor5 38:Motor6 39:Motor7 40:Motor8 51:RCIN1 52:RCIN2 53:RCIN3 54:RCIN4 55:RCIN5 56:RCIN6 57:RCIN7 58:RCIN8 59:RCIN9 60:RCIN10 61:RCIN11 62:RCIN12 63:RCIN13 64:RCIN14 65:RCIN15 66:RCIN16 67:Ignition 68:Choke 69:Starter 70:Throttle,Setting this to Disabled(0) will setup this output for control by auto missions or MAVLink servo set commands. any other value will enable the corresponding function
RC5_MAX,1982,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC5_MIN,992,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC5_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC5_TRIM,993,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC6_DZ,0,pwm,0 200,dead zone around trim or bottom
RC6_FUNCTION,0,,0:Disabled 1:RCPassThru 2:Flap 3:Flap_auto 4:Aileron 6:mount_pan 7:mount_tilt 8:mount_roll 9:mount_open 10:camera_trigger 11:release 12:mount2_pan 13:mount2_tilt 14:mount2_roll 15:mount2_open 16:DifferentialSpoiler1 17:DifferentialSpoiler2 18:AileronWithInput 19:Elevator 20:ElevatorWithInput 21:Rudder 24:Flaperon1 25:Flaperon2 26:GroundSteering 27:Parachute 28:EPM 29:LandingGear 30:EngineRunEnable 31:HeliRSC 32:HeliTailRSC 33:Motor1 34:Motor2 35:Motor3 36:Motor4 37:Motor5 38:Motor6 39:Motor7 40:Motor8 51:RCIN1 52:RCIN2 53:RCIN3 54:RCIN4 55:RCIN5 56:RCIN6 57:RCIN7 58:RCIN8 59:RCIN9 60:RCIN10 61:RCIN11 62:RCIN12 63:RCIN13 64:RCIN14 65:RCIN15 66:RCIN16 67:Ignition 68:Choke 69:Starter 70:Throttle,Setting this to Disabled(0) will setup this output for control by auto missions or MAVLink servo set commands. any other value will enable the corresponding function
RC6_MAX,1985,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC6_MIN,992,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC6_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC6_TRIM,992,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC7_DZ,0,pwm,0 200,dead zone around trim or bottom
RC7_FUNCTION,0,,0:Disabled 1:RCPassThru 2:Flap 3:Flap_auto 4:Aileron 6:mount_pan 7:mount_tilt 8:mount_roll 9:mount_open 10:camera_trigger 11:release 12:mount2_pan 13:mount2_tilt 14:mount2_roll 15:mount2_open 16:DifferentialSpoiler1 17:DifferentialSpoiler2 18:AileronWithInput 19:Elevator 20:ElevatorWithInput 21:Rudder 24:Flaperon1 25:Flaperon2 26:GroundSteering 27:Parachute 28:EPM 29:LandingGear 30:EngineRunEnable 31:HeliRSC 32:HeliTailRSC 33:Motor1 34:Motor2 35:Motor3 36:Motor4 37:Motor5 38:Motor6 39:Motor7 40:Motor8 51:RCIN1 52:RCIN2 53:RCIN3 54:RCIN4 55:RCIN5 56:RCIN6 57:RCIN7 58:RCIN8 59:RCIN9 60:RCIN10 61:RCIN11 62:RCIN12 63:RCIN13 64:RCIN14 65:RCIN15 66:RCIN16 67:Ignition 68:Choke 69:Starter 70:Throttle,Setting this to Disabled(0) will setup this output for control by auto missions or MAVLink servo set commands. any other value will enable the corresponding function
RC7_MAX,1900,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC7_MIN,1100,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC7_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC7_TRIM,1498,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC8_DZ,0,pwm,0 200,dead zone around trim or bottom
RC8_FUNCTION,0,,0:Disabled 1:RCPassThru 2:Flap 3:Flap_auto 4:Aileron 6:mount_pan 7:mount_tilt 8:mount_roll 9:mount_open 10:camera_trigger 11:release 12:mount2_pan 13:mount2_tilt 14:mount2_roll 15:mount2_open 16:DifferentialSpoiler1 17:DifferentialSpoiler2 18:AileronWithInput 19:Elevator 20:ElevatorWithInput 21:Rudder 24:Flaperon1 25:Flaperon2 26:GroundSteering 27:Parachute 28:EPM 29:LandingGear 30:EngineRunEnable 31:HeliRSC 32:HeliTailRSC 33:Motor1 34:Motor2 35:Motor3 36:Motor4 37:Motor5 38:Motor6 39:Motor7 40:Motor8 51:RCIN1 52:RCIN2 53:RCIN3 54:RCIN4 55:RCIN5 56:RCIN6 57:RCIN7 58:RCIN8 59:RCIN9 60:RCIN10 61:RCIN11 62:RCIN12 63:RCIN13 64:RCIN14 65:RCIN15 66:RCIN16 67:Ignition 68:Choke 69:Starter 70:Throttle,Setting this to Disabled(0) will setup this output for control by auto missions or MAVLink servo set commands. any other value will enable the corresponding function
RC8_MAX,1900,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC8_MIN,1100,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC8_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC8_TRIM,1498,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RCMAP_PITCH,2,43473,,"Pitch channel number. This is useful when you have a RC transmitter that can't change the channel order easily. Pitch is normally on channel 2, but you can move it to any channel with this parameter. Reboot is required for changes to take effect."
RCMAP_ROLL,1,43473,,"Roll channel number. This is useful when you have a RC transmitter that can't change the channel order easily. Roll is normally on channel 1, but you can move it to any channel with this parameter. Reboot is required for changes to take effect."
RCMAP_THROTTLE,3,43473,,"Throttle channel number. This is useful when you have a RC transmitter that can't change the channel order easily. Throttle is normally on channel 3, but you can move it to any channel with this parameter. Warning APM 2.X: Changing the throttle channel could produce unexpected fail-safe results if connection between receiver and on-board PPM Encoder is lost. Disabling on-board PPM Encoder is recommended. Reboot is required for changes to take effect."
RCMAP_YAW,4,43473,,"Yaw channel number. This is useful when you have a RC transmitter that can't change the channel order easily. Yaw (also known as rudder) is normally on channel 4, but you can move it to any channel with this parameter. Reboot is required for changes to take effect."
RELAY_PIN,13,,-1:Disabled 13:APM2 A9 pin 47:APM1 relay 50:Pixhawk AUXOUT1 51:Pixhawk AUXOUT2 52:Pixhawk AUXOUT3 53:Pixhawk AUXOUT4 54:Pixhawk AUXOUT5 55:Pixhawk AUXOUT6 111:PX4 FMU Relay1 112:PX4 FMU Relay2 113:PX4IO Relay1 114:PX4IO Relay2 115:PX4IO ACC1 116:PX4IO ACC2,Digital pin number for first relay control. This is the pin used for camera control.
RELAY_PIN2,-1,,-1:Disabled 13:APM2 A9 pin 47:APM1 relay 50:Pixhawk AUXOUT1 51:Pixhawk AUXOUT2 52:Pixhawk AUXOUT3 53:Pixhawk AUXOUT4 54:Pixhawk AUXOUT5 55:Pixhawk AUXOUT6 111:PX4 FMU Relay1 112:PX4 FMU Relay2 113:PX4IO Relay1 114:PX4IO Relay2 115:PX4IO ACC1 116:PX4IO ACC2,Digital pin number for 2nd relay control.
RNGFND_FUNCTION,0,,0:Linear 1:Inverted 2:Hyperbolic,"Control over what function is used to calculate distance. For a linear function, the distance is (voltage-offset)*scaling. For a inverted function the distance is (offset-voltage)*scaling. For a hyperbolic function the distance is scaling/(voltage-offset). The functions return the distance in meters."
RNGFND_GAIN,0.8,,0.01 2.0,Used to adjust the speed with which the target altitude is changed when objects are sensed below the copter
RNGFND_MAX_CM,700,centimeters,Maximum distance in centimeters that rangefinder can reliably read,
RNGFND_MIN_CM,20,centimeters,Minimum distance in centimeters that rangefinder can reliably read,
RNGFND_OFFSET,0,Volts,Offset in volts for zero distance for analog rangefinders. Offset added to distance in centimeters for PWM and I2C Lidars,
RNGFND_PIN,-1,,-1:Not Used 0:APM2-A0 1:APM2-A1 2:APM2-A2 3:APM2-A3 4:APM2-A4 5:APM2-A5 6:APM2-A6 7:APM2-A7 8:APM2-A8 9:APM2-A9 11:PX4-airspeed port 15:Pixhawk-airspeed port 64:APM1-airspeed port,Analog pin that rangefinder is connected to. Set this to 0..9 for the APM2 analog pins. Set to 64 on an APM1 for the dedicated 'airspeed' port on the end of the board. Set to 11 on PX4 for the analog 'airspeed' port. Set to 15 on the Pixhawk for the analog 'airspeed' port.
RNGFND_RMETRIC,1,,0:No 1:Yes,"This parameter sets whether an analog rangefinder is ratiometric. Most analog rangefinders are ratiometric, meaning that their output voltage is influenced by the supply voltage. Some analog rangefinders (such as the SF/02) have their own internal voltage regulators so they are not ratiometric."
RNGFND_SCALING,3,meters/Volt,Scaling factor between rangefinder reading and distance. For the linear and inverted functions this is in meters per volt. For the hyperbolic function the units are meterVolts.,
RNGFND_SETTLE_MS,0,,,Coming soon
RNGFND_STOP_PIN,-1,,-1:Not Used 50:Pixhawk AUXOUT1 51:Pixhawk AUXOUT2 52:Pixhawk AUXOUT3 53:Pixhawk AUXOUT4 54:Pixhawk AUXOUT5 55:Pixhawk AUXOUT6 111:PX4 FMU Relay1 112:PX4 FMU Relay2 113:PX4IO Relay1 114:PX4IO Relay2 115:PX4IO ACC1 116:PX4IO ACC2,"Digital pin that enables/disables rangefinder measurement for an analog rangefinder. A value of -1 means no pin. If this is set, then the pin is set to 1 to enable the rangefinder and set to 0 to disable it. This can be used to ensure that multiple sonar rangefinders don't interfere with each other."
RNGFND_TYPE,0,,0:None 1:Analog 2:APM2-MaxbotixI2C 3:APM2-PulsedLightI2C 4:PX4-I2C 5:PX4-PWM 6:BBB-PRU 7:LightWareI2C 8:LightWareSerial 9:Bebop 10:MAVLink 12:LeddarOne,What type of rangefinder device that is connected
RSSI_PIN,-1,,,Coming soon
RSSI_RANGE,5,,,Coming soon
RTL_ALT,1500,Centimeters,0 8000,The minimum relative altitude the model will move to before Returning to Launch. Set to zero to return at current altitude.
RTL_ALT_FINAL,0,Centimeters,-1 1000,This is the altitude the vehicle will move to as the final stage of Returning to Launch or after completing a mission. Set to zero to land.
RTL_LOIT_TIME,5000,ms,0 60000,Time (in milliseconds) to loiter above home before beginning final descent
SCHED_DEBUG,0,,0:Disabled 2:ShowSlips 3:ShowOverruns,"Set to non-zero to enable scheduler debug messages. When set to show ""Slips"" the scheduler will display a message whenever a scheduled task is delayed due to too much CPU load. When set to ShowOverruns the scheduled will display a message whenever a task takes longer than the limit promised in the task table."
SERIAL0_BAUD,115,,1:1200 2:2400 4:4800 9:9600 19:19200 38:38400 57:57600 111:111100 115:115200 500:500000 921:921600 1500:1500000,"The baud rate used on the USB console. The APM2 can support all baudrates up to 115, and also can support 500. The PX4 can support rates of up to 1500. If you setup a rate you cannot support on APM2 and then can't connect to your board you should load a firmware from a different vehicle type. That will reset all your parameters to defaults."
SERIAL1_BAUD,57,,1:1200 2:2400 4:4800 9:9600 19:19200 38:38400 57:57600 111:111100 115:115200 500:500000 921:921600 1500:1500000,"The baud rate used on the Telem1 port. The APM2 can support all baudrates up to 115, and also can support 500. The PX4 can support rates of up to 1500. If you setup a rate you cannot support on APM2 and then can't connect to your board you should load a firmware from a different vehicle type. That will reset all your parameters to defaults."
SIMPLE,18,,,Bitmask which holds which flight modes use simple heading mode (eg bit 0 = 1 means Flight Mode 0 uses simple mode)
SR0_EXT_STAT,2,Hz,0 10,"Stream rate of SYS_STATUS, MEMINFO, MISSION_CURRENT, GPS_RAW_INT, NAV_CONTROLLER_OUTPUT, and LIMITS_STATUS to ground station"
SR0_EXTRA1,4,Hz,0 10,Stream rate of ATTITUDE and SIMSTATE (SITL only) to ground station
SR0_EXTRA2,4,Hz,0 10,Stream rate of VFR_HUD to ground station
SR0_EXTRA3,2,Hz,0 10,"Stream rate of AHRS, HWSTATUS, and SYSTEM_TIME to ground station"
SR0_PARAMS,10,Hz,0 10,Stream rate of PARAM_VALUE to ground station
SR0_POSITION,2,Hz,0 10,Stream rate of GLOBAL_POSITION_INT to ground station
SR0_RAW_CTRL,1,Hz,0 10,Stream rate of RC_CHANNELS_SCALED (HIL only) to ground station
SR0_RAW_SENS,2,Hz,0 10,"Stream rate of RAW_IMU, SCALED_IMU2, SCALED_PRESSURE, and SENSOR_OFFSETS to ground station"
SR0_RC_CHAN,2,Hz,0 10,Stream rate of SERVO_OUTPUT_RAW and RC_CHANNELS to ground station
SR1_EXT_STAT,2,Hz,0 10,"Stream rate of SYS_STATUS, MEMINFO, MISSION_CURRENT, GPS_RAW_INT, NAV_CONTROLLER_OUTPUT, and LIMITS_STATUS to ground station"
SR1_EXTRA1,2,Hz,0 10,Stream rate of ATTITUDE and SIMSTATE (SITL only) to ground station
SR1_EXTRA2,2,Hz,0 10,Stream rate of VFR_HUD to ground station
SR1_EXTRA3,2,Hz,0 10,"Stream rate of AHRS, HWSTATUS, and SYSTEM_TIME to ground station"
SR1_PARAMS,0,Hz,0 10,Stream rate of PARAM_VALUE to ground station
SR1_POSITION,2,Hz,0 10,Stream rate of GLOBAL_POSITION_INT to ground station
SR1_RAW_CTRL,2,Hz,0 10,Stream rate of RC_CHANNELS_SCALED (HIL only) to ground station
SR1_RAW_SENS,2,Hz,0 10,"Stream rate of RAW_IMU, SCALED_IMU2, SCALED_PRESSURE, and SENSOR_OFFSETS to ground station"
SR1_RC_CHAN,2,Hz,0 10,Stream rate of SERVO_OUTPUT_RAW and RC_CHANNELS to ground station
STB_PIT_P,0.016,,,Coming soon
STB_RLL_P,0.016,,,Coming soon
STB_YAW_P,4,,,Coming soon
SUPER_SIMPLE,5,,0:Disabled 1:Mode1 2:Mode2 3:Mode1+2 4:Mode3 5:Mode1+3 6:Mode2+3 7:Mode1+2+3 8:Mode4 9:Mode1+4 10:Mode2+4 11:Mode1+2+4 12:Mode3+4 13:Mode1+3+4 14:Mode2+3+4 15:Mode1+2+3+4 16:Mode5 17:Mode1+5 18:Mode2+5 19:Mode1+2+5 20:Mode3+5 21:Mode1+3+5 22:Mode2+3+5 23:Mode1+2+3+5 24:Mode4+5 25:Mode1+4+5 26:Mode2+4+5 27:Mode1+2+4+5 28:Mode3+4+5 29:Mode1+3+4+5 30:Mode2+3+4+5 31:Mode1+2+3+4+5 32:Mode6 33:Mode1+6 34:Mode2+6 35:Mode1+2+6 36:Mode3+6 37:Mode1+3+6 38:Mode2+3+6 39:Mode1+2+3+6 40:Mode4+6 41:Mode1+4+6 42:Mode2+4+6 43:Mode1+2+4+6 44:Mode3+4+6 45:Mode1+3+4+6 46:Mode2+3+4+6 47:Mode1+2+3+4+6 48:Mode5+6 49:Mode1+5+6 50:Mode2+5+6 51:Mode1+2+5+6 52:Mode3+5+6 53:Mode1+3+5+6 54:Mode2+3+5+6 55:Mode1+2+3+5+6 56:Mode4+5+6 57:Mode1+4+5+6 58:Mode2+4+5+6 59:Mode1+2+4+5+6 60:Mode3+4+5+6 61:Mode1+3+4+5+6 62:Mode2+3+4+5+6 63:Mode1+2+3+4+5+6,Bitmask to enable Super Simple mode for some flight modes. Setting this to Disabled(0) will disable Super Simple Mode
SYSID_MYGCS,255,,255:Mission Planner and DroidPlanner 252: AP Planner 2,Allows restricting radio overrides to only come from my ground station
SYSID_SW_MREV,120,,,This value is incremented when changes are made to the eeprom format
SYSID_SW_TYPE,10,,0:ArduPlane 4:AntennaTracker 10:Copter 20:Rover,This is used by the ground station to recognise the software type (eg ArduPlane vs ArduCopter)
SYSID_THISMAV,1,,1 255,Allows setting an individual MAVLink system id for this vehicle to distinguish it from others on the same network
TELEM_DELAY,0,seconds,0 30,The amount of time (in seconds) to delay radio telemetry to prevent an Xbee bricking on power up
THR_ACCEL_D,0,,,Coming soon
THR_ACCEL_I,1,,,Coming soon
THR_ACCEL_IMAX,800,,,Coming soon
THR_ACCEL_P,0.5,,,Coming soon
THR_ALT_P,1,,,Coming soon
THR_DZ,100,pwm,0 300,"The deadzone above and below mid throttle. Used in AltHold, Loiter, PosHold flight modes"
THR_MAX,1000,,,Coming soon
THR_MID,510,,,Coming soon
THR_MIN,130,,,Coming soon
THR_RATE_P,6,,,Coming soon
TRIM_THROTTLE,724,,,Coming soon
TUNE,1,,0:None 1:Stab Roll/Pitch kP 4:Rate Roll/Pitch kP 5:Rate Roll/Pitch kI 21:Rate Roll/Pitch kD 3:Stab Yaw kP 6:Rate Yaw kP 26:Rate Yaw kD 14:Altitude Hold kP 7:Throttle Rate kP 34:Throttle Accel kP 35:Throttle Accel kI 36:Throttle Accel kD 42:Loiter Speed 12:Loiter Pos kP 22:Velocity XY kP 28:Velocity XY kI 10:WP Speed 25:Acro RollPitch kP 40:Acro Yaw kP 13:Heli Ext Gyro 17:OF Loiter kP 18:OF Loiter kI 19:OF Loiter kD 38:Declination 39:Circle Rate 41:RangeFinder Gain 46:Rate Pitch kP 47:Rate Pitch kI 48:Rate Pitch kD 49:Rate Roll kP 50:Rate Roll kI 51:Rate Roll kD 52:Rate Pitch FF 53:Rate Roll FF 54:Rate Yaw FF,Controls which parameters (normally PID gains) are being tuned with transmitter's channel 6 knob
TUNE_HIGH,32,,0 32767,The maximum value that will be applied to the parameter currently being tuned with the transmitter's channel 6 knob
TUNE_LOW,0,,0 32767,The minimum value that will be applied to the parameter currently being tuned with the transmitter's channel 6 knob
WP_YAW_BEHAVIOR,2,,0:Never change yaw 1:Face next waypoint 2:Face next waypoint except RTL 3:Face along GPS course,Determines how the autopilot controls the yaw during missions and RTL
WPNAV_ACCEL,100,cm/s/s,50 500,Defines the horizontal acceleration in cm/s/s used during missions
WPNAV_ACCEL_Z,100,cm/s/s,50 500,Defines the vertical acceleration in cm/s/s used during missions
WPNAV_LOIT_JERK,1000,cm/s/s/s,500 5000,Loiter maximum jerk in cm/s/s/s
WPNAV_LOIT_SPEED,1000,cm/s,20 2000,Defines the maximum speed in cm/s which the aircraft will travel horizontally while in loiter mode
WPNAV_RADIUS,200,cm,100 1000,"Defines the distance from a waypoint, that when crossed indicates the wp has been hit."
WPNAV_SPEED,500,cm/s,0 2000,Defines the speed in cm/s which the aircraft will attempt to maintain horizontally during a WP mission
WPNAV_SPEED_DN,150,cm/s,10 500,Defines the speed in cm/s which the aircraft will attempt to maintain while descending during a WP mission
WPNAV_SPEED_UP,250,cm/s,-328443,Defines the speed in cm/s which the aircraft will attempt to maintain while climbing during a WP mission
